MovieID,Keywords
tt0105112,"ryan, ulster, sean, officers, terrorists, guards, jack, rescue, captured, troopers"
tt1204975,"archie, billy, sam, paddy, ronnie, flatbush, boys, grandson, bed, jackson"
tt0243655,
tt0040897,"dobbs, gold, gila, cody, fred, bob, prospector, fortune, lottery, prospecting"
tt0126886,"jim, reese, tracy, teacher, liaison, junior, student, senior, students, dave"
tt0286716,"bruce, david, hulk, nanomeds, brian, ross, scientist, eric, talbot, banner"
tt0090605,"ripley, alien, aliens, spacecraft, cat, survivors, stranded, unconscious, chamber, crew"
tt0243155,"bridget, darcy, colin, renee, firth, affair, hugh, jones, daniel, barrister"
tt0121765,"anakin, skywalker, jedi, palpatine, hayden, padmé, lightsaber, yoda, darth, senate"
tt0443453,"borat, kazakhstan, kazakhstani, kazakh, sagdiyev, movie, yusuf, filming, tv, hitchhike"
tt0107131,
tt0110364,
tt0450259,"leone, solomon, diamond, diamonds, stone, smuggling, rebels, poison, mercenary, rebel"
tt0143145,"bond, mi6, assassin, banker, casino, mercenary, knife, bilbao, grenade, prisoner"
tt0435625,"whitewater, raft, sarah, rafting, underwater, rebecca, pool, natalie, molly, cabin"
tt0343818,"roboticist, robot, robots, spooner, detective, robotics, machines, suicide, psychologist, interrogates"
tt0120815,"normandy, flag, omaha, soldier, 1944, memorial, tom, grave, cemetery, paratroopers"
tt0253754,"commander, romulan, commanders, picard, uss, admiral, romulus, praetor, officer, captain"
tt1951264,"katniss, hunger, peeta, uprising, district, mockingjay, rebellions, betray, rebellion, mellark"
tt0118849,"shoes, sneakers, zahra, ali, feet, footrace, siblings, shoemaker, movie, bicycle"
tt0120783,"twins, hallie, twin, annie, elizabeth, daughters, nick, lindsay, queen, ann"
tt0114814,"crewman, keyser, survivors, killer, smuggler, murderous, passenger, smugglers, killing, criminals"
tt0101700,
tt0377092,"lindsay, rachel, regina, cady, daughter, lizzy, janis, plastics, queen, amanda"
tt0102768,
tt1259521,"scene, movie, kristen, acting, cabin, dana, holden, jules, curt, fate"
tt2084970,"suspects, interrogated, imprisoned, interrogation, turing, prison, responsibility, detective, spy, security"
tt0108399,"clerk, presley, detectives, clarence, elvis, alabama, comic, nicholson, movie, actor"
tt0017136,"mediator, freder, fredersen, film, scene, johann, movie, rudolf, underworld, worker"
tt2356777,"detectives, hunt, hunting, timelines, harrelson, mcconaughey, killer, season, woody, martin"
tt0215750,"koulikov, stalingrad, vassili, khrushchev, erwin, danilov, zaitsev, nikita, soviet, fiennes"
tt0082096,"1941, submarines, sailors, torpedo, captain, torpedoes, crewmember, boat, germans, sunk"
tt0408985,
tt0107822,"piano, ada, teacher, oblivious, holly, flora, scotswoman, music, interpreter, listening"
tt1120985,"cindy, megan, frankie, ending, dog, movie, breakfast, romance, divorce, film"
tt0018455,"summertime, townswomen, farmer, townsfolk, flashback, scene, margaret, sunrise, lingers, married"
tt0499448,"caspian, narnians, narnian, conqueror, narnia, leonine, dowager, prince, king, edmund"
tt0133152,"apes, ape, astronaut, leo, ari, chimpanzee, primates, oberon, human, wahlberg"
tt1289401,"ghost, ghostly, ghosts, haunting, ghostbusters, garrett, possessed, door, nightstand, aldridge"
tt2101441,"faith, vanessa, childhood, friends, spring, spiritual, candy, selena, rachel, ashley"
tt0475784,"dolores, maeve, cullen, lowe, clementine, unconscious, dies, charlotte, elsie, hale"
tt1536537,
tt0113957,"thief, angela, devlin, theft, discovers, purse, stolen, stole, computer, colleague"
tt0100507,"rocky, boxing, heavyweight, boxers, tony, creed, championship, champion, tommy, contender"
tt0302886,"mitch, mitchs, snoop, vaughn, vince, juliette, partying, party, acquaintance, house"
tt0460681,
tt3011894,
tt0114319,"sabrina, holly, lauren, julia, playboy, david, daughter, crenna, fairchild, nancy"
tt3748528,"galen, lyra, orson, galactic, jyn, stardust, crystal, necklace, empire, orb"
tt0107207,"guildford, gerry, bombings, belfast, bombing, irishmen, paddy, maguire, suspects, terrorism"
tt0120363,"squeaktoy, woody, toy, squeaker, toys, wheezy, andy, barn, doll, penguin"
tt0109707,"cast, actors, film, actor, films, acting, movie, scene, theater, movies"
tt0103893,"buffy, vampire, vampires, slayer, dawn, coven, merrick, evil, sutherland, necks"
tt1217209,"bear, fergus, merida, bow, archery, forest, elinor, emerges, enchanted, arrows"
tt0116126,
tt0140352,"hezbollah, bergman, wigand, lebanon, tobacco, sheikh, lawsuit, attorney, liane, williamson"
tt0406375,"game, play, playing, gravity, life, space, boys, sleepy, rules, finish"
tt0120794,"nile, egyptians, moses, pharaoh, servant, exodus, egyptian, slaves, hebrews, israelites"
tt3659388,"martian, astronauts, nasa, mars, hermes, crew, spacecraft, shuttle, flight, mission"
tt0160127,
tt0103772,"detective, detectives, boz, roxy, murder, trammel, investigators, murdered, murderer, sfpd"
tt0099810,"sinking, sank, waking, submarine, submarines, boat, scenes, diver, cabin, morning"
tt0116705,
tt0298148,"shrek, fiona, prince, fairy, godmother, donkey, royal, voiced, dragon, ogre"
tt0351283,"marty, park, zoo, lion, alex, giraffe, zebra, gift, penguin, globe"
tt0102744,"quigley, rifleman, gunslingers, sharpshooting, rifle, cowboy, shooting, selleck, shoots, rickman"
tt1298650,"sparrow, jack, pirate, captain, blackbeard, privateer, johnny, depp, sam, impostor"
tt1187064,"jess, boat, sailing, emma, cruise, sally, tommy, cabin, wind, harbor"
tt0149261,"shark, sharks, aquatica, underwater, swims, boat, sea, scientists, submarine, alzheimer"
tt0106977,"flashes, policeman, detective, helen, kimbles, kimble, flashing, city, flashback, reporter"
tt0452594,"gary, brooke, brookes, joey, dennis, marilyn, cubs, johnny, dean, wrigley"
tt2660888,"kirk, starfleet, starship, scotty, mccoy, chris, idris, vulcan, federation, captain"
tt0103064,"casualties, cyborgs, cyborg, destruction, robot, war, soldier, terminator, enemy, explosion"
tt0959337,"scene, frank, actress, actresses, actors, jennifer, movie, kathryn, kate, helen"
tt0295700,"finn, stranded, desmond, cabin, scene, scott, chris, forest, woods, cliff"
tt0107048,"groundhog, punxsutawney, phil, holiday, february, murray, newscast, day, meteorologist, connors"
tt0416320,"chris, rhys, johansson, emily, chloe, cousin, actress, tom, wilton, scarlett"
tt0353969,"murders, suspects, detective, murder, yoon, detectives, crimes, crime, murdered, killer"
tt0405159,"frankie, boxer, scrap, boxing, fights, eastwood, punches, morgan, maggie, fighters"
tt1781769,"anna, karenina, karenin, moscow, alexi, dolly, stiva, russian, nikolai, olivia"
tt0337741,"harry, erica, marin, actress, zoe, keanu, julian, amanda, nicholson, fiancée"
tt0120828,
tt0120903,"mutants, xavier, mutant, wolverine, marie, kelly, cyclops, magneto, mutation, jean"
tt0232500,"racers, vin, dominic, racer, racing, honda, vince, matt, motorcycles, dom"
tt0113442,
tt0396171,"perfume, perfumer, fragrances, scent, perfumes, scents, grenouille, smell, smells, essence"
tt0458352,"andrea, miranda, emily, fashionistas, andy, designer, fashion, magazine, runway, assistant"
tt1392190,"max, rockatansky, reinforcements, battle, warlords, warrior, villain, survivors, hostage, citadel"
tt0458339,"tonsberg, headlights, viking, kamikaze, johann, nazi, nazis, odin, roof, norway"
tt0110322,"scene, battle, colonel, wounded, heartrending, troops, veteran, cinematography, wars, battles"
tt0324216,"hitchhiker, trailer, trucker, shack, lynyrd, jedediah, kidnapped, tucker, scene, sheriff"
tt0382625,"vinci, langdon, magdalene, leonardo, louvre, templar, priory, silas, jacques, pope"
tt0101545,"jim, jimwood, mcclellend, dodge, murder, mcclelland, fired, murdered, saltburg, clerk"
tt0360486,"demons, constantine, supernatural, exorcisms, constantines, exorcising, lucifer, spirits, keanu, occult"
tt0129290,
tt1228705,"stark, tony, iron, avengers, romanoff, thor, expo, fury, nick, powers"
tt1430132,"nagasaki, logan, wolverine, yamamura, yashida, samurai, yamanouchi, jackman, wwii, soldiers"
tt0133093,"cypher, trinity, informant, neo, cellphone, interrogation, matrix, calls, morpheus, carrie"
tt0103241,
tt0230011,"atlantis, milo, leviathan, sunken, ocean, expedition, sea, cavern, underground, giant"
tt0887912,"detonated, explosive, explosion, explosives, blast, grenade, bombs, bomb, explode, detonating"
tt0376994,"xavier, mutant, jean, mutants, wolverine, cyclops, magneto, cameron, stewart, olivia"
tt0101889,"jack, lucas, fisher, parry, robin, knight, tormentor, tale, percival, king"
tt0106582,"mountain, climbing, climb, climbed, cliff, rocky, ranger, mountains, chopper, rescue"
tt1591095,"dalton, josh, scene, renai, paranormal, darkness, disturbing, film, disturbed, dark"
tt5439796,"boone, jimmy, bobbie, virginiajimmy, lynchburg, west, jim, sadie, county, tatum"
tt0408236,"barker, sweeney, barkers, barber, todd, nellie, barbering, johanna, rickman, barbershop"
tt0117218,"obesity, hamster, hamsters, obese, fat, fattest, overweight, laboratory, perkins, scientist"
tt1355644,"starship, hibernation, space, blinks, wakes, meteor, cabin, avalon, awake, voyage"
tt5580390,"elisa, pie, sally, movie, zelda, voice, hawkins, giles, scream, monster"
tt0461770,"kisses, kiss, lips, giselle, cinderella, fairytale, princess, kissing, scene, movie"
tt0038650,"angels, angel, guardian, george, clarence, movie, harry, bailey, scene, james"
tt0234215,"carrie, trinity, matrix, scene, rooftop, rain, green, gunfire, motorcycle, code"
tt1091191,"taliban, insurgents, seals, afghanistan, shah, sniper, soldiers, marines, seal, insurgent"
tt0117666,"karl, movie, murder, jerry, murders, doyle, bob, asylum, robert, custody"
tt0765429,"richie, godfather, tango, frank, film, vegas, vietnam, detective, mobsters, drug"
tt0116996,"newscaster, newscast, martian, martians, kessler, aliens, michael, mars, jason, james"
tt0319061,"edward, bloom, tales, billy, tale, wedding, mildred, engaged, twins, teller"
tt0050783,"cabiria, giorgio, giulietta, lazzari, wanda, nazzari, alberto, franco, glamorous, laughing"
