BookId,Keywords
620,"pig, pigs, boar, animals, animalism, animal, farm, veterinary, beasts, donkey, dogs, napoleon, snowball, farmers, workhorse"
843,"alex, droogs, dreary, georgie, novel, gang, mayhem, violent, drinking, ultra, bully, violence, friends, brutality, milk"
986,"plague, epidemic, illness, fever, disease, deaths, outbreak, patients, treat, death, quarantined, fatal, quarantine, rieux, dies"
1756,"hume, philosophy, philosophical, philosophers, empiricism, philosophically, epistemology, philosopher, notions, enquiry, epistemologies, reasonings, epistemologist, arguments, reasoning"
2080,"galactic, milky, superintelligence, outermost, distant, transcend, universe, depths, transcendent, futuristic, blight, expedition, space, novel, vast"
2152,"erich, soldier, soldiers, combat, novel, warfare, book, battles, bäumer, wounded, war, retreating, survival, fighting"
2890,"ged, magician, wizard, gontish, mage, ogion, witch, spell, magic, magical, gont, wizards, summon, youngster, nemmerle"
2950,"bluebird, townspeople, cookie, town, scheming, mayoress, schub, scene, cookies, jar, towns, schroeder, shell, cora, sanitarium"
4081,"deckard, filming, tyrell, blade, runner, movie, mission, acting, replicants, mars, crew, living, mystery, dragged, days"
4082,"replicant, deckard, replicants, runner, holden, blade, batty, tyrell, runners, isidore, leads, roy, lead"
4331,"israelites, covenant, israelite, covenantal, judah, israel, jerusalem, mesopotamia, jericho, gilgal, jordan, canaanites, canaan, canaanite"
4332,"judah, ezra, temple, jerusalem, cyrus, bible, darius, israelites, babylon, altar, tabernacles, prophets, israel"
4376,"israelites, moses, levites, levi, tabernacle, sinai, manasseh, canaanites, priests, merarites, israel, tithes, consecrates, tribes"
4381,"bethlehem, naomi, barley, remarry, heir, harvest, ezekiel, mothers, famine, moabite, dies, widow, marries, mahlon"
4382,"esther, ahasuerus, vashti, persians, orphan, empire, purim, teresh, mordecai, persian, bigthan, haman, mordechai, assassinate"
4386,"satan, servant, pious, job, sins, curse, curses, evil, cursed, adversary, lord, strike, righteousness, sinned"
4449,"hosea, israel, prophet, jezreel, covenantal, covenant, assyria, prophecy, gods, prophetic, kings, kingdom, adultery, ruhamah, gomer"
4451,"jonah, fish, nineveh, sea, prophesy, creature, overboard, prophets, tarshish, judgment, thou, mercy, plot, flee"
4452,"judah, prophecy, prophets, jerusalem, prophet, babylon, verses, prophetic, paronomasia, assyrian, micah, bethlehem, prophesy"
4454,"judah, jerusalem, haggai, prophets, temple, kingdoms, governor, downfall, leader, drought, rebuilding, book, rebuild, chosen"
6020,"vaughan, nightmare, narrator, author, fantasy, angel, perverse, crash, story, robert, movie, ballard, die"
6628,"leto, dune, alia, muad, jihad, desert, atreides, heir, arrakis, emperor, ancestors, sandworms, farad"
6629,"candide, cunégonde, voltaire, westphalia, protagonists, chapters, adventures, adventure, tale, novels, picaresque, mascarenes, allegory, quest, episodic"
6630,"sandworm, sandworms, dune, gesserit, bene, matres, matre, odrade, tleilaxu, scytale, planet, exterminate, ghola, tleilax, allied"
6921,"laura, hesselius, niece, tale, countess, bertha, rheinfeldt, narrated, literature, picturesque, daughter, protagonists, occult, heirloom, haunted"
7817,"homer, orphanage, orphan, wilbur, wally, orphans, adopt, parentage, babies, wells, abortion, childhood, pregnancies, abortions, child"
7923,"vampires, vampire, transylvania, castle, vampiric, harker, novel, moldavia, carpathian, tale, protagonists, book, nocturnal"
8237,"chivalric, chivalry, chivalrous, quixote, novel, dulcinea, alonso, quijano, protagonist, literature, novels, protagonists"
8547,"commandments, deuteronomy, covenant, worship, covenantal, verses, theology, deuteronomic, moses, sinai, deuteronomistic, israel, obedience, gods, priests"
8567,"emperor, deposed, gesserit, leto, empire, messiah, gaius, conspirators, irulan, dune, atreides, servant, jihad, shaddam"
8757,"darwinism, darwinian, evolution, evolutionary, beginning, hume, introduction, concept, gradualism, primacy, biology, begins, sociobiology"
9000,"george, death, book, hero, poem, narrator, war, character, narrated, marries, killed, art, cynical, patriotic"
9662,"pharaoh, moses, exodus, egyptian, egypt, nile, israelites, hebrews, plague, priesthood, plagues, hebrew"
