MovieID,Keywords
tt0105112,"ryan, ulster, sean, officers, terrorists, guards, jack, rescue, captured, troopers, officer, donnell, ireland, bodyguard, ned, guard, cab, hostage, accomplice"
tt1204975,"archie, billy, paddy, ronnie, flatbush, boys, grandson, bed, jackson, funeral, party, bar, malibu, teens, nightclub, brooklyn, wedding, night, son"
tt0243655,
tt0040897,"dobbs, gold, cody, fred, prospector, fortune, lottery, prospecting, mined, bandits, barton, bruce, curtin, barter, finds, sees"
tt0126886,"reese, tracy, teacher, liaison, junior, student, senior, students, candidate, delaney, mcallister, matthew, molly, witherspoon, campbell"
tt0286716,"bruce, hulk, nanomeds, ross, scientist, talbot, banner, regeneration, experiments, havoc, todd, mutation, rampage, foster, superhuman, genetic, lucas"
tt0090605,"ripley, alien, aliens, spacecraft, cat, survivors, stranded, unconscious, chamber, crew, presence, marine, explosion, survived, weaver, disoriented, marines, incapacitated, escape, emerges"
tt0243155,"bridget, colin, renee, firth, affair, hugh, jones, daniel, barrister, attraction, vows, woman, cleaver, engaged, mark, realizes, character, diary, questionable"
tt0121765,"anakin, skywalker, jedi, palpatine, hayden, padmé, lightsaber, yoda, darth, senate, senator, chancellor, trooper, sith, republic, padame, jar, obi"
tt0443453,"borat, kazakhstan, kazakhstani, sagdiyev, movie, yusuf, filming, tv, hitchhike, television, tourist, kusak, watching, reporter, huey, home, hollywood, pong, prostitute"
tt0107131,
tt0110364,
tt0450259,"leone, solomon, diamond, diamonds, stone, smuggling, rebels, poison, mercenary, rebel, liberia, danny, dia, benjamin, portrays, soldiers, freetown, fisherman, sierra, battle"
tt0143145,"bond, assassin, banker, casino, mercenary, knife, bilbao, grenade, prisoner, escape, steals, barons, captured, king, kills, killing, ransom, detonator, escapes"
tt0435625,"whitewater, raft, rafting, underwater, rebecca, pool, natalie, molly, cabin, flooded, pond, diving, adventure, water, milburn, daughter, nightmare, dreams"
tt0343818,"roboticist, robot, robots, spooner, detective, robotics, machines, suicide, psychologist, interrogates, supercomputer, robo, dead, death, investigates, died, projector, alfred, ceo, founder"
tt0120815,"normandy, flag, omaha, soldier, 1944, memorial, grave, cemetery, paratroopers, beach, soldiers, harrison, gravestones, hanks, troop, sergeant, trenches, colonel"
tt0253754,"commander, romulan, commanders, picard, uss, admiral, romulus, praetor, officer, captain, signature, signatures, marina, aliens, remus, fleet, scene, scimitar, nemesis, viceroy"
tt1951264,"katniss, hunger, peeta, uprising, district, mockingjay, rebellions, betray, rebellion, mellark, victors, victor, killed, districts, ending, suicide, game, games, killings, johanna"
tt0118849,"shoes, sneakers, zahra, ali, feet, footrace, siblings, shoemaker, movie, bicycle, scheme, pair, wear, secret, film, errands, children, red, parents, schoolmate"
tt0120783,"twins, twin, annie, daughters, nick, lindsay, queen, sister, camp, hotel, girls, natasha, wedding, bridesmaids, camping, summer, walden"
tt0114814,"crewman, keyser, survivors, killer, smuggler, murderous, passenger, smugglers, killing, criminals, criminal, sgt, kill, officer, kujan, killed, kidnap, kint, mangled, boat"
tt0101700,
tt0377092,"lindsay, rachel, regina, cady, daughter, janis, plastics, queen, amanda, lacey, girls, teacher, gossip, tina, girl, book, classmates, bee, teachers"
tt0102768,
tt1259521,"scene, movie, kristen, acting, cabin, holden, jules, curt, fate, doors, room, rooms, place, door, watching, college, decides, hallway, football"
tt2084970,"suspects, interrogated, imprisoned, interrogation, turing, prison, responsibility, detective, spy, security, criminal, attention, communication, suspect, pause, commitment, commit, intentions, paranoid, control"
tt0108399,"presley, detectives, clarence, elvis, alabama, comic, nicholson, movie, actor, drexl, cop, film, gangster, informant, store, kilmer, arquette, prison"
tt0017136,"mediator, freder, fredersen, film, scene, johann, movie, rudolf, underworld, worker, workers, luxury, gustav, fröhlich, society, skyscrapers, alfred, role, infatuated"
tt2356777,"detectives, hunting, timelines, harrelson, mcconaughey, killer, season, woody, hart, cohle, matthew, series, louisiana, years, time, case, opening, trace"
tt0215750,"koulikov, stalingrad, vassili, khrushchev, erwin, danilov, zaitsev, nikita, soviet, fiennes, sniper, 1942, soldier, germans, wounded, fillipov, lieutenant, jude, snipers, weisz"
tt0082096,"1941, submarines, sailors, torpedo, captain, torpedoes, boat, germans, sunk, ww2, torpedoed, sinking, enlisted, officer, aboard, crew, warships, officers, convoy"
tt0408985,
tt0107822,"piano, ada, teacher, oblivious, holly, scotswoman, music, interpreter, listening, speechless, poem, communicate, abandons, affectionate, instrument, lessons, eliciting, affection, shy"
tt1120985,"cindy, megan, frankie, ending, dog, movie, breakfast, romance, divorce, film, vows, gosling, lost, parent, lays, sex, marriage, dinner, granddaughter, eating"
tt0018455,"summertime, townswomen, farmer, townsfolk, flashback, scene, sunrise, lingers, married, dinner, town, vacation, wife, moonlight, house, vows, woman, farm, time"
tt0499448,"caspian, narnians, narnian, conqueror, narnia, leonine, dowager, prince, king, edmund, andreu, crowned, invaded, cast, guardsmen, conquer, invading, protector"
tt0133152,"apes, ape, astronaut, leo, chimpanzee, primates, oberon, human, wahlberg, pericles, humanoid, clarke, slave, slaves, 5021, chimp, simian, helena, pilot"
tt1289401,"ghost, ghostly, ghosts, haunting, ghostbusters, garrett, possessed, door, nightstand, aldridge, rooms, mansion, demonic, kristen, floor, creep, rebecca, erin, eerie"
tt2101441,"faith, vanessa, childhood, friends, spring, spiritual, candy, selena, rachel, ashley, classmates, soul, drinking, party, robbery, girls, foursome, robberies, alcohol, parties"
tt0475784,"dolores, maeve, cullen, lowe, clementine, unconscious, dies, charlotte, elsie, hale, dead, logan, tells, killed, blonde, died, wyatt, core, awakes, murder"
tt1536537,
tt0113957,"thief, angela, devlin, theft, discovers, purse, stolen, stole, computer, colleague, files, steal, hack, copies, copy, file, virus, code, saves, confidential"
tt0100507,"rocky, boxing, heavyweight, boxers, tony, creed, championship, champion, tommy, contender, duke, fighter, fight, adrian, mick, king, fighting, trainer, punches"
tt0302886,"mitch, mitchs, snoop, vaughn, vince, juliette, partying, party, acquaintance, house, palooza, fraternity, scene, godfather, fraternitys, relationship, robber, franks, divorce"
tt0460681,
tt3011894,
tt0114319,"sabrina, holly, lauren, julia, playboy, daughter, crenna, maude, tyson, photographer, loves, photography, richard, electronics"
tt3748528,"galen, lyra, galactic, jyn, stardust, crystal, necklace, empire, orb, galaxy, gerrera, krennic, alliance, film, begins, rebel, meets, planet"
tt0107207,"guildford, bombings, belfast, bombing, irishmen, paddy, maguire, suspects, terrorism, policemen, irish, ronnie, explosives, munitions, accused, pub, soldier, guilford, sniper"
